return_id,client_id,order_id,probability_fraud,anomaly_score,is_anomaly,combined_score,decision,features_used,timestamp
1,6000,4651,1.0,-0.5878,True,0.7875,BLOCK,63,2026-04-14T11:24:28.535546
2,5998,4654,1.0,-0.6187,True,0.805,BLOCK,63,2026-04-14T11:24:28.766998
3,5998,4655,1.0,-0.6379,True,0.775,BLOCK,63,2026-04-14T11:24:28.993041
4,5998,4656,1.0,-0.614,True,0.75,BLOCK,63,2026-04-14T11:24:29.242814
5,5997,4659,1.0,-0.612,True,0.825,BLOCK,63,2026-04-14T11:24:29.487770
6,5996,4661,1.0,-0.6038,True,0.75,BLOCK,63,2026-04-14T11:24:29.729400
7,5992,4670,1.0,-0.6113,True,0.82,BLOCK,63,2026-04-14T11:24:29.955880
8,5990,4676,1.0,-0.6283,True,0.8375,BLOCK,63,2026-04-14T11:24:30.179239
9,5988,4681,0.0,-0.6182,True,0.175,APPROVE,63,2026-04-14T11:24:30.406159
10,5981,4700,1.0,-0.6321,True,0.775,BLOCK,63,2026-04-14T11:24:30.622483
11,5980,4705,1.0,-0.6252,True,0.775,BLOCK,63,2026-04-14T11:24:30.879482
12,5976,4713,1.0,-0.6325,True,0.775,BLOCK,63,2026-04-14T11:24:31.116509
13,5976,4714,1.0,-0.6358,True,0.825,BLOCK,63,2026-04-14T11:24:31.364202
14,5976,4715,1.0,-0.6375,True,0.775,BLOCK,63,2026-04-14T11:24:31.641790
15,5975,4716,1.0,-0.6496,True,0.775,BLOCK,63,2026-04-14T11:24:31.870292
16,5972,4725,1.0,-0.6525,True,0.775,BLOCK,63,2026-04-14T11:24:32.091219
17,5971,4728,0.0,-0.5842,True,0.175,APPROVE,63,2026-04-14T11:24:32.312782
18,5967,4742,1.0,-0.6155,True,0.775,BLOCK,63,2026-04-14T11:24:32.639857
19,5965,4748,1.0,-0.6015,True,0.775,BLOCK,63,2026-04-14T11:24:32.860539
20,5965,4750,1.0,-0.6215,True,0.775,BLOCK,63,2026-04-14T11:24:33.079786
21,5964,4751,0.0,-0.6367,True,0.22,APPROVE,63,2026-04-14T11:24:33.295824
22,5963,4752,1.0,-0.6201,True,0.775,BLOCK,63,2026-04-14T11:24:33.509954
23,5960,4758,0.0,-0.6223,True,0.175,APPROVE,63,2026-04-14T11:24:33.734210
24,5960,4759,0.0,-0.6166,True,0.15,APPROVE,63,2026-04-14T11:24:33.950873
25,5959,4763,1.0,-0.6266,True,0.775,BLOCK,63,2026-04-14T11:24:34.166879
26,5959,4764,1.0,-0.6087,True,0.75,BLOCK,63,2026-04-14T11:24:34.390681
27,5958,4765,1.0,-0.6484,True,0.775,BLOCK,63,2026-04-14T11:24:34.615578
28,5953,4775,1.0,-0.55,True,0.7875,BLOCK,63,2026-04-14T11:24:34.841348
29,5952,4779,1.0,-0.6548,True,0.82,BLOCK,63,2026-04-14T11:24:35.060340
30,5950,4784,0.0,-0.628,True,0.2125,APPROVE,63,2026-04-14T11:24:35.273025
31,5941,4809,1.0,-0.6001,True,0.775,BLOCK,63,2026-04-14T11:24:35.501352
32,5940,4812,1.0,-0.6303,True,0.75,BLOCK,63,2026-04-14T11:24:35.717147
33,5937,4821,0.0,-0.6365,True,0.205,APPROVE,63,2026-04-14T11:24:35.931286
34,5937,4822,0.0,-0.6004,True,0.205,APPROVE,63,2026-04-14T11:24:36.145915
35,5934,4828,1.0,-0.6298,True,0.775,BLOCK,63,2026-04-14T11:24:36.365045
36,5933,4832,1.0,-0.5544,True,0.75,BLOCK,63,2026-04-14T11:24:36.581964
37,5932,4834,1.0,-0.6637,True,0.8125,BLOCK,63,2026-04-14T11:24:36.795414
38,5932,4835,0.0,-0.6534,True,0.1875,APPROVE,63,2026-04-14T11:24:37.013324
39,5932,4837,1.0,-0.6528,True,0.8125,BLOCK,63,2026-04-14T11:24:37.234947
40,5926,4850,1.0,-0.6335,True,0.775,BLOCK,63,2026-04-14T11:24:37.448188
41,5925,4852,1.0,-0.6686,True,0.775,BLOCK,63,2026-04-14T11:24:37.660880
